id_estudiante,seccion,horas_estudio_semana,asistencia_pct,tareas_entregadas,promedio_quices,nota_proyecto,participacion_clase,uso_plataforma_min_semana,tutorias_asistidas,promedio_prev,nota_final,aprobado
C-033,C,9.1,100.0,5,61.9,69.8,8,239,1,66.4,67.8,0
C-034,C,7.3,87.8,7,95.0,66.8,6,203,4,86.1,69.8,0
C-035,C,5.3,83.6,7,86.3,64.6,8,169,4,79.5,68.1,0
C-036,C,7.5,73.4,3,70.7,73.2,5,145,1,55.0,55.3,0
C-037,C,6.4,87.8,7,57.2,80.9,7,97,4,75.9,69.7,0
C-038,C,8.5,77.4,8,69.6,79.8,6,191,4,67.3,69.4,0
C-039,C,9.5,76.6,5,69.6,68.5,6,287,4,67.2,65.5,0
C-040,C,6.9,72.5,5,83.0,78.3,9,213,2,81.2,63.8,0
C-041,C,10.8,90.3,10,69.5,64.4,5,124,2,91.8,75.2,1
C-042,C,4.1,85.9,5,85.6,75.0,7,255,6,58.5,66.1,0
C-043,C,7.5,67.4,10,100.0,81.8,7,122,2,60.2,74.5,1
C-044,C,8.1,78.2,8,65.4,77.5,8,128,3,61.6,62.6,0
C-045,C,2.0,68.4,8,67.1,69.6,5,253,5,75.1,61.2,0
C-046,C,9.4,86.5,6,89.4,66.6,5,229,0,63.8,66.4,0
C-047,C,9.7,71.6,5,96.3,78.4,6,299,3,78.5,66.9,0
C-048,C,12.7,78.4,10,51.7,74.8,7,110,4,46.3,72.6,1
C-049,C,7.4,83.6,10,67.5,55.1,8,210,5,60.1,65.1,0
C-050,C,9.3,77.4,5,54.7,64.3,10,203,4,78.1,62.3,0
C-051,C,9.5,68.9,9,78.8,72.0,10,179,1,81.6,70.6,1
C-052,C,2.6,75.3,7,75.8,76.7,8,185,4,58.1,58.8,0
C-053,C,8.4,68.1,8,64.8,73.9,8,58,4,56.1,64.0,0
C-054,C,3.2,90.6,7,77.4,89.9,9,186,0,65.3,62.1,0
C-055,C,8.4,86.5,6,88.9,62.6,8,118,4,65.2,71.8,1
C-056,C,9.7,64.7,4,40.0,90.4,7,194,2,65.2,62.3,0
C-057,C,8.3,69.6,4,54.6,70.8,7,119,3,62.3,60.1,0
C-058,C,1.3,97.2,7,64.5,78.8,10,241,3,95.0,64.7,0
C-059,C,11.9,84.3,7,73.5,71.3,8,204,3,79.5,68.0,0
C-060,C,8.4,76.4,5,79.2,77.9,6,176,4,62.2,66.5,0
C-061,C,10.5,86.5,4,76.6,59.6,9,186,4,63.1,61.3,0
C-062,C,5.4,81.8,6,96.0,91.5,6,137,5,70.0,72.1,1
C-063,C,6.3,85.4,8,75.3,70.3,7,259,4,75.0,65.2,0
C-064,C,13.8,75.9,9,65.2,74.8,8,215,2,86.4,78.3,1
C-065,C,6.9,92.3,9,64.5,51.3,7,189,6,82.4,67.3,0
C-066,C,6.2,81.0,7,49.2,75.3,7,181,3,72.9,64.1,0
C-067,C,6.4,69.4,8,72.1,69.3,6,180,1,65.5,54.3,0
C-068,C,10.5,78.6,5,80.8,84.7,6,194,4,80.6,71.3,1
C-069,C,2.8,76.4,10,60.4,80.5,5,153,4,78.8,55.2,0
C-070,C,6.5,82.2,7,84.8,71.3,8,88,5,60.7,67.3,0
C-071,C,4.8,81.3,5,58.2,61.1,9,44,5,53.5,51.1,0
C-072,C,15.0,79.9,5,82.3,91.6,6,81,4,67.5,81.0,1
C-073,C,10.8,72.1,5,72.1,73.1,8,244,2,72.9,67.7,0
C-074,C,7.8,80.8,6,95.1,88.0,8,128,5,68.1,67.9,0
C-075,C,8.2,74.3,8,78.1,88.0,5,223,2,64.3,65.5,0
C-076,C,6.8,92.2,6,77.3,93.1,9,280,3,60.3,66.4,0
C-077,C,6.2,69.7,8,69.8,62.8,9,197,4,84.8,60.6,0
C-078,C,7.0,76.7,7,60.8,64.4,7,168,2,68.3,57.8,0
C-079,C,12.8,74.8,4,66.9,72.6,6,178,2,59.9,55.0,0
C-080,C,6.6,70.9,5,62.5,69.4,8,250,5,59.2,60.1,0
C-081,C,6.7,82.3,5,55.9,84.9,8,133,3,73.7,63.2,0
C-082,C,8.4,81.5,6,89.4,80.7,6,227,4,58.9,64.4,0
C-083,C,12.0,80.6,10,87.1,84.5,3,331,3,84.0,81.4,1
C-084,C,9.0,91.3,10,81.0,79.6,9,238,3,54.6,79.8,1
C-085,C,4.3,74.4,7,81.5,82.4,3,228,2,60.3,50.0,0
C-086,C,7.7,82.7,7,57.7,83.0,7,217,3,52.8,71.2,1
C-087,C,7.6,79.8,5,41.2,79.2,3,175,3,74.4,53.3,0
C-088,C,3.5,81.3,9,81.1,72.0,6,96,3,53.8,60.7,0
C-089,C,5.3,68.6,5,80.8,91.2,6,244,2,54.3,56.8,0
C-090,C,8.6,69.2,6,81.4,74.2,7,248,6,74.5,75.8,1
C-091,C,6.2,85.8,7,85.1,60.4,8,86,5,79.3,65.5,0
C-092,C,12.6,69.4,8,83.2,57.0,8,197,2,62.6,72.9,1
C-093,C,8.6,88.0,7,66.5,83.6,5,278,1,82.7,71.7,1
C-094,C,6.1,91.4,3,82.9,74.0,8,250,4,78.1,71.4,1
C-095,C,7.3,74.4,7,82.1,73.0,8,241,3,50.0,66.6,0
C-096,C,4.8,81.8,6,94.2,63.2,6,138,2,75.7,63.2,0
C-097,C,5.5,80.5,7,83.1,80.3,8,128,4,84.5,60.4,0
C-098,C,9.9,91.4,9,77.8,88.7,6,194,2,71.0,70.2,1
C-099,C,7.3,96.4,4,77.5,81.6,7,272,6,60.7,68.8,0
C-100,C,1.8,85.7,7,65.1,66.4,5,153,3,67.1,53.0,0
C-101,C,3.5,86.2,9,70.8,76.2,7,316,1,61.7,62.1,0
C-102,C,9.3,89.2,4,85.8,79.5,9,116,0,72.5,72.3,1
C-103,C,4.1,71.4,9,51.7,67.4,6,153,6,80.9,61.3,0
C-104,C,6.6,78.6,8,63.8,64.7,7,274,2,73.2,66.1,0
C-105,C,10.8,86.3,7,84.2,64.9,10,92,3,74.0,78.0,1
C-106,C,6.9,75.2,5,66.6,97.5,10,239,3,90.3,64.6,0
C-107,C,6.7,92.7,8,54.8,92.8,5,230,2,71.6,56.4,0
C-108,C,6.4,71.5,8,80.3,76.5,6,229,1,84.0,62.5,0
C-109,C,10.8,77.6,5,82.3,79.3,3,191,2,59.8,63.6,0
C-110,C,5.5,80.0,6,79.7,90.0,4,179,3,64.6,65.7,0
C-111,C,3.9,84.5,5,78.2,89.4,10,103,3,78.8,63.5,0
C-112,C,7.8,71.5,7,57.7,85.5,6,172,2,84.2,67.2,0
C-113,C,12.5,75.9,7,100.0,68.0,6,152,2,82.1,74.4,1
C-114,C,8.7,81.9,8,65.5,67.4,6,85,5,80.2,67.5,0
C-115,C,12.3,79.6,7,66.4,76.9,9,100,5,73.8,80.4,1
C-116,C,11.3,83.6,6,83.2,86.0,5,238,2,78.9,80.0,1
C-117,C,4.3,72.2,7,82.8,84.3,6,154,3,81.6,54.6,0
C-118,C,7.8,69.7,5,76.2,76.3,7,130,3,69.9,61.0,0
C-119,C,7.3,55.5,9,78.4,69.2,6,178,4,52.1,56.2,0
C-120,C,7.7,67.7,5,83.8,94.9,8,61,6,62.0,62.4,0
C-121,C,11.3,74.2,5,80.5,67.8,10,226,2,90.8,77.0,1
C-122,C,11.9,66.1,7,65.9,78.7,6,248,4,70.3,74.3,1
C-123,C,9.9,74.7,4,77.6,79.6,7,322,3,67.9,65.7,0
C-124,C,11.3,84.7,8,80.3,82.8,10,172,4,62.9,79.7,1
C-125,C,5.9,73.9,9,80.2,92.9,7,251,3,72.5,74.3,1
C-126,C,10.1,85.3,8,75.5,56.3,5,149,2,64.8,63.3,0
C-127,C,4.5,83.9,8,63.7,47.2,8,135,2,80.1,62.5,0
C-128,C,6.6,78.1,8,81.7,82.3,8,144,0,75.3,64.1,0
C-129,C,4.0,83.8,7,84.4,88.4,10,198,1,51.3,49.6,0
C-130,C,11.4,85.3,7,80.5,87.1,7,153,2,63.2,77.7,1
C-131,C,6.4,66.9,5,56.0,84.9,9,193,4,69.0,69.7,0
C-132,C,10.0,91.0,8,80.2,76.6,9,129,4,64.1,74.2,1
C-133,C,3.8,63.7,9,94.6,74.9,4,114,3,68.0,56.1,0
C-134,C,8.4,80.2,10,81.7,98.4,7,235,2,73.4,71.0,1
C-135,C,10.2,73.2,6,70.1,68.8,10,93,1,66.2,66.7,0
C-136,C,8.1,73.7,8,79.4,88.9,6,156,1,59.0,64.9,0
C-137,C,8.4,79.8,8,74.6,74.3,9,269,3,71.5,77.5,1
C-138,C,8.3,75.1,6,71.7,76.5,7,193,4,65.7,69.1,0
C-139,C,7.6,76.7,6,82.2,65.5,5,200,3,62.5,62.4,0
C-140,C,6.7,77.9,6,79.3,72.7,3,150,1,63.0,54.9,0
C-141,C,5.3,71.1,7,66.9,67.8,6,125,1,87.5,61.6,0
C-142,C,10.9,80.3,10,97.5,57.3,5,241,6,70.9,79.2,1
C-143,C,7.8,69.7,4,87.8,63.3,10,165,4,61.2,63.1,0
C-144,C,8.0,83.0,5,55.3,54.1,3,179,2,65.8,59.0,0
C-145,C,8.8,69.1,5,74.0,83.4,9,220,5,62.4,73.2,1
C-146,C,4.0,80.9,8,75.0,62.5,6,114,3,63.4,54.8,0
C-147,C,3.7,74.8,8,44.4,68.7,9,180,1,63.9,51.6,0
C-148,C,3.8,90.9,5,60.6,91.4,4,20,3,75.5,65.7,0
C-149,C,13.2,71.4,9,88.7,80.5,7,271,3,68.0,74.3,1
C-150,C,7.0,89.0,5,75.3,68.6,5,246,5,62.4,66.1,0
C-151,C,10.0,76.3,10,81.0,83.7,8,69,2,80.4,73.6,1
C-152,C,2.3,66.5,7,78.2,76.5,9,191,4,71.8,66.7,0
C-153,C,6.6,90.9,9,76.2,80.0,8,179,4,69.6,70.0,0
C-154,C,8.1,87.7,5,69.7,63.8,7,73,4,71.1,62.2,0
C-155,C,6.1,93.5,9,60.1,82.6,8,141,3,67.9,67.7,0
C-156,C,11.1,76.4,7,54.4,75.8,8,113,3,76.1,67.7,0
C-157,C,6.8,87.3,6,65.8,68.7,6,112,3,62.1,66.0,0
C-158,C,7.6,92.4,4,85.8,62.8,3,138,3,61.4,64.4,0
C-159,C,11.2,81.7,8,87.4,70.1,6,199,4,72.5,79.7,1
C-160,C,12.7,100.0,8,91.6,63.7,3,112,3,56.8,79.8,1
C-161,C,8.8,78.8,6,73.8,74.4,5,122,2,59.5,59.5,0
C-162,C,6.5,88.9,9,65.4,74.6,10,113,2,71.8,66.2,0
C-163,C,7.0,74.0,9,93.3,64.5,10,57,3,89.5,75.1,1
C-164,C,11.5,75.2,9,88.2,87.3,6,168,3,69.0,75.5,1
C-165,C,4.6,78.3,5,81.8,82.7,8,285,3,73.5,60.6,0
C-166,C,4.7,80.7,8,81.1,58.9,10,236,1,58.1,55.2,0
C-167,C,4.9,83.3,7,70.1,90.3,7,82,4,64.5,60.6,0
C-168,C,10.9,85.5,6,90.4,66.4,4,187,6,89.9,75.3,1
C-169,C,9.0,64.3,7,53.9,58.3,4,109,4,71.1,60.6,0
C-170,C,5.0,82.3,6,70.9,75.1,9,234,2,71.9,62.3,0
C-171,C,5.5,76.8,9,82.9,87.4,9,42,1,62.6,60.8,0
C-172,C,7.7,66.8,7,76.1,91.6,9,257,3,78.5,73.0,1
C-173,C,6.1,75.3,8,95.0,69.6,8,61,3,74.6,66.4,0
C-174,C,4.5,86.4,9,80.8,79.3,8,211,3,78.0,69.5,0
C-175,C,5.1,85.0,10,67.3,78.4,8,264,2,78.4,67.7,0
C-176,C,7.0,68.5,8,66.0,91.8,6,180,2,65.8,60.1,0
C-177,C,5.8,75.7,5,49.5,87.1,8,278,4,62.6,61.4,0
C-178,C,7.5,76.3,10,90.7,82.9,8,160,3,68.8,71.8,1
C-179,C,6.5,90.7,8,77.5,81.8,5,288,5,70.3,68.9,0
C-180,C,5.4,77.7,9,83.9,80.7,10,140,1,75.5,63.2,0
