id_estudiante,seccion,horas_estudio_semana,asistencia_pct,tareas_entregadas,promedio_quices,nota_proyecto,participacion_clase,uso_plataforma_min_semana,tutorias_asistidas,promedio_prev,nota_final,aprobado
B-056,B,7.0,79.0,7,67.4,69.6,7,249,2,53.9,65.1,0
B-057,B,5.4,80.9,7,76.8,90.2,8,244,3,77.6,66.5,0
B-058,B,4.6,81.3,6,68.1,80.2,7,126,4,70.0,65.5,0
B-059,B,12.1,73.2,9,65.5,87.5,7,352,3,56.3,72.3,1
B-060,B,8.9,69.3,7,77.0,81.4,5,152,1,89.1,67.6,0
B-061,B,10.2,86.5,7,82.7,89.6,10,212,1,93.3,82.4,1
B-062,B,14.2,92.5,9,70.7,84.3,6,172,5,71.4,82.7,1
B-063,B,11.0,85.6,5,78.5,72.6,10,175,0,73.6,76.1,1
B-064,B,8.9,74.1,5,64.0,94.9,7,139,4,62.3,65.9,0
B-065,B,5.5,81.2,10,78.2,77.5,10,153,5,52.7,67.1,0
B-066,B,11.4,76.7,5,63.3,79.2,7,233,1,68.5,70.9,1
B-067,B,10.4,69.9,9,77.3,81.1,8,88,2,62.0,69.4,0
B-068,B,12.1,72.9,9,61.1,91.5,8,194,3,69.8,81.5,1
B-069,B,8.5,76.5,7,76.2,69.9,7,204,3,67.6,57.7,0
B-070,B,7.8,85.4,7,84.9,78.7,5,208,3,65.4,67.6,0
B-071,B,2.4,72.0,7,74.5,76.9,7,204,6,70.5,64.3,0
B-072,B,10.6,90.2,6,53.8,75.5,5,340,2,85.6,62.7,0
B-073,B,4.1,81.4,7,90.5,66.6,10,206,5,59.1,74.5,1
B-074,B,7.3,90.7,7,65.6,48.5,6,196,6,71.0,65.7,0
B-075,B,10.4,89.1,6,47.0,69.7,10,154,3,83.4,79.2,1
B-076,B,9.1,82.8,7,94.9,88.4,7,298,1,75.5,71.2,1
B-077,B,8.5,82.2,9,65.6,76.6,4,295,6,71.8,77.8,1
B-078,B,10.2,83.8,7,81.0,73.1,10,138,2,68.1,77.3,1
B-079,B,3.3,83.7,7,75.9,75.5,9,133,4,61.4,63.3,0
B-080,B,9.0,87.1,10,95.5,87.1,7,133,0,63.4,65.3,0
B-081,B,12.7,96.1,7,92.0,76.2,6,272,3,79.9,85.7,1
B-082,B,12.4,86.5,8,52.3,74.3,6,220,0,67.0,62.7,0
B-083,B,4.2,94.1,6,78.2,83.0,9,255,0,86.6,64.4,0
B-084,B,11.8,89.1,5,60.3,89.0,5,137,0,82.6,69.5,0
B-085,B,10.2,78.7,8,71.9,81.6,7,201,2,77.2,71.3,1
B-086,B,5.8,85.6,9,70.5,79.8,9,205,3,82.9,69.9,0
B-087,B,4.6,86.7,2,70.8,59.5,10,280,4,71.0,54.0,0
B-088,B,8.3,88.6,8,58.3,59.9,6,148,1,91.6,72.0,1
B-089,B,13.1,78.5,9,80.4,77.8,7,20,0,68.2,73.8,1
B-090,B,10.3,90.2,7,82.5,71.3,6,185,0,80.2,76.5,1
B-091,B,5.9,76.8,8,82.4,71.3,9,280,2,74.4,77.2,1
B-092,B,9.1,80.1,5,95.3,79.8,6,329,1,73.8,73.6,1
B-093,B,12.1,86.7,8,70.7,84.9,7,57,1,66.1,80.4,1
B-094,B,8.5,82.8,5,62.1,100.0,8,240,4,75.2,66.4,0
B-095,B,7.4,74.6,7,73.9,67.4,8,262,3,65.2,60.2,0
B-096,B,10.2,71.3,6,42.5,79.5,9,220,5,84.0,75.5,1
B-097,B,2.3,77.3,7,69.5,100.0,6,174,5,74.0,54.6,0
B-098,B,10.2,75.9,5,58.0,69.1,8,238,5,80.1,77.1,1
B-099,B,4.6,98.5,8,59.1,83.7,8,202,2,69.5,62.9,0
B-100,B,8.5,73.1,8,56.9,65.8,9,313,1,72.6,76.2,1
B-101,B,9.9,70.1,9,57.7,90.7,10,163,1,73.0,73.1,1
B-102,B,8.4,99.0,6,75.3,69.6,9,334,2,66.4,73.1,1
B-103,B,6.5,68.1,8,51.9,83.9,6,205,3,71.7,72.8,1
B-104,B,7.6,76.7,6,60.1,86.3,8,167,0,59.3,65.3,0
B-105,B,11.3,85.4,8,72.6,72.7,6,279,2,64.4,78.1,1
B-106,B,4.6,81.5,6,68.5,61.9,10,208,3,77.8,67.3,0
B-107,B,6.0,83.9,5,87.4,68.6,7,267,5,56.6,61.9,0
B-108,B,9.8,93.8,6,72.6,79.1,7,246,2,45.4,62.4,0
B-109,B,11.3,100.0,10,95.5,83.4,8,176,1,72.7,92.0,1
B-110,B,8.8,83.2,10,81.8,85.9,7,190,1,86.7,71.7,1
B-111,B,7.2,84.3,7,59.2,67.9,9,345,4,65.7,68.4,0
B-112,B,11.0,78.9,7,69.8,92.3,9,130,0,69.2,65.2,0
B-113,B,7.6,77.1,8,90.2,82.7,8,236,3,69.1,75.3,1
B-114,B,15.2,77.8,4,55.9,77.5,8,290,0,80.4,65.2,0
B-115,B,13.0,83.0,10,60.2,70.8,2,255,2,58.7,73.2,1
B-116,B,14.7,77.3,5,49.9,66.9,7,295,4,70.4,79.9,1
B-117,B,5.9,83.5,5,70.5,53.8,8,148,2,70.3,63.0,0
B-118,B,7.3,77.4,7,83.1,71.3,8,263,2,88.6,74.2,1
B-119,B,8.0,72.4,5,85.2,76.4,1,285,1,72.7,57.3,0
B-120,B,5.0,78.2,8,69.7,93.8,8,92,0,66.6,61.9,0
B-121,B,7.2,78.8,8,55.9,85.4,9,240,4,61.3,64.7,0
B-122,B,11.8,76.8,6,74.7,64.8,6,176,2,60.1,72.2,1
B-123,B,5.7,77.4,7,69.9,84.3,6,163,2,51.4,65.5,0
B-124,B,7.9,85.0,6,81.5,65.8,7,263,1,57.4,63.7,0
B-125,B,13.5,70.3,4,74.7,100.0,6,231,2,64.9,78.9,1
B-126,B,9.8,88.0,5,86.3,100.0,5,300,2,70.4,74.1,1
B-127,B,10.4,75.9,10,65.3,81.9,5,236,3,61.5,71.9,1
B-128,B,8.9,79.6,7,72.8,72.2,9,82,0,76.7,67.8,0
B-129,B,6.9,90.7,4,70.9,92.9,7,165,1,68.9,61.4,0
B-130,B,7.7,88.1,5,67.0,82.9,6,231,3,72.0,64.9,0
B-131,B,9.7,66.1,5,77.8,84.0,5,259,2,92.3,66.5,0
B-132,B,7.0,83.5,8,52.1,81.2,8,165,2,65.6,76.7,1
B-133,B,9.0,91.5,7,54.4,71.1,6,244,1,74.6,63.9,0
B-134,B,7.5,73.1,10,42.7,85.4,7,158,3,82.2,67.6,0
B-135,B,8.6,77.1,10,72.9,91.8,7,292,2,62.2,78.7,1
B-136,B,13.7,91.5,8,81.9,80.8,7,224,0,65.2,75.9,1
B-137,B,10.8,70.5,8,77.5,74.9,8,234,1,71.4,71.1,1
B-138,B,4.8,94.8,9,91.6,74.5,9,20,3,70.8,72.1,1
B-139,B,8.3,70.1,6,74.0,86.2,5,209,6,73.3,66.8,0
B-140,B,14.6,75.0,7,61.9,89.4,6,217,1,73.1,76.3,1
B-141,B,14.5,76.3,4,76.8,75.4,8,151,0,77.9,70.0,1
B-142,B,5.3,77.3,8,75.1,65.0,6,164,3,66.3,58.0,0
B-143,B,10.2,86.9,5,75.1,82.6,7,253,6,62.1,71.0,1
B-144,B,8.9,84.1,8,86.0,74.9,10,158,1,71.5,63.3,0
B-145,B,1.1,82.2,10,62.9,80.4,8,216,2,77.8,61.9,0
B-146,B,9.8,82.5,5,63.6,99.4,9,60,2,61.8,66.9,0
B-147,B,15.1,67.8,6,72.5,93.2,9,245,4,74.4,80.5,1
B-148,B,6.7,75.7,5,87.4,57.2,9,67,0,71.8,51.7,0
B-149,B,7.9,89.4,5,64.1,68.3,8,66,4,69.1,61.5,0
B-150,B,11.9,71.2,8,89.1,78.7,10,202,2,68.9,75.3,1
B-151,B,7.5,91.9,4,89.6,59.9,6,145,2,76.6,50.8,0
B-152,B,7.5,79.3,8,68.9,56.8,6,109,2,75.3,66.1,0
B-153,B,9.8,72.5,7,66.0,73.6,8,224,3,76.8,68.8,0
B-154,B,4.4,87.0,9,72.4,72.6,6,177,4,67.7,58.3,0
B-155,B,10.4,86.7,4,55.0,74.1,8,297,0,73.2,63.1,0
B-156,B,4.8,75.4,5,91.9,80.3,7,206,2,74.6,58.4,0
B-157,B,9.1,76.1,9,75.7,69.7,9,282,4,72.5,77.0,1
B-158,B,11.4,73.8,4,86.7,74.8,8,138,0,61.1,63.6,0
B-159,B,14.0,75.7,7,66.0,75.4,9,217,4,82.5,86.4,1
B-160,B,6.5,62.2,9,75.9,87.9,7,404,4,81.5,66.9,0
B-161,B,9.6,75.2,4,71.8,55.4,4,235,2,70.8,63.3,0
B-162,B,9.7,90.9,5,92.9,81.5,9,146,0,83.6,68.6,0
B-163,B,3.3,76.7,8,60.9,56.3,10,170,1,61.8,52.5,0
B-164,B,8.6,83.9,5,88.0,60.2,6,178,1,71.6,66.5,0
B-165,B,9.6,87.4,8,74.1,80.1,6,240,3,61.2,73.9,1
B-166,B,10.6,82.1,9,73.2,80.4,4,58,2,52.2,67.1,0
B-167,B,15.0,76.9,7,52.9,79.9,9,262,2,71.2,81.8,1
B-168,B,9.3,76.5,7,71.9,75.7,5,228,3,65.6,64.9,0
B-169,B,8.7,76.4,7,68.6,77.1,8,182,2,69.7,62.0,0
B-170,B,8.7,83.4,6,80.4,68.2,8,261,2,80.8,74.5,1
B-171,B,8.9,77.8,8,67.7,78.4,6,39,2,84.5,66.9,0
B-172,B,10.4,86.9,8,66.1,91.1,7,324,2,73.5,65.2,0
B-173,B,13.8,95.2,7,84.4,53.9,6,214,1,75.4,77.9,1
B-174,B,5.7,85.0,7,76.2,73.6,9,271,1,79.3,63.2,0
B-175,B,9.0,69.6,4,68.2,68.2,10,140,2,73.6,67.1,0
B-176,B,1.5,83.7,5,75.9,59.3,10,233,2,63.4,52.7,0
B-177,B,3.7,79.4,3,79.8,73.0,5,205,0,76.2,55.6,0
B-178,B,9.4,77.8,6,71.4,74.9,5,274,1,72.7,68.8,0
B-179,B,2.3,75.1,8,72.4,46.1,6,117,1,94.0,42.6,0
B-180,B,9.9,78.9,7,91.6,51.8,8,359,0,65.5,78.5,1
