id_estudiante,seccion,horas_estudio_semana,asistencia_pct,tareas_entregadas,promedio_quices,nota_proyecto,participacion_clase,uso_plataforma_min_semana,tutorias_asistidas,promedio_prev,nota_final,aprobado
A-061,A,5.6,87.7,9,84.3,79.3,5,261,1,73.7,61.9,0
A-062,A,9.4,81.8,5,66.8,63.1,8,184,3,55.3,65.0,0
A-063,A,11.9,92.8,5,76.2,57.8,5,50,2,90.3,63.7,0
A-064,A,8.2,79.9,7,100.0,93.7,5,109,1,91.3,71.6,1
A-065,A,8.9,68.6,8,81.7,69.5,7,125,1,92.1,65.8,0
A-066,A,6.4,86.0,7,70.0,95.2,7,141,2,80.6,66.8,0
A-067,A,7.3,83.1,9,88.5,77.3,6,187,2,53.0,55.2,0
A-068,A,7.1,90.7,5,80.9,45.3,10,111,3,61.1,64.5,0
A-069,A,7.1,88.8,6,72.6,78.8,10,283,3,68.8,70.7,1
A-070,A,6.2,85.0,10,62.3,65.8,5,159,2,73.5,55.9,0
A-071,A,9.2,84.9,3,73.7,50.2,10,209,4,67.3,64.9,0
A-072,A,11.9,85.0,8,70.4,75.5,8,113,2,77.3,78.2,1
A-073,A,5.2,78.7,6,76.3,62.9,8,29,4,59.7,68.5,0
A-074,A,12.2,74.3,6,80.3,73.1,8,207,2,65.3,69.1,0
A-075,A,6.8,77.4,7,79.2,88.4,5,230,4,62.8,65.6,0
A-076,A,6.9,83.3,5,64.4,84.3,5,244,2,68.8,55.8,0
A-077,A,1.5,65.9,9,81.9,76.1,8,167,1,54.4,54.7,0
A-078,A,1.0,80.5,8,80.6,76.4,6,188,2,91.5,49.0,0
A-079,A,10.2,76.1,10,58.0,76.4,10,117,3,60.0,69.8,0
A-080,A,4.7,83.3,8,79.6,67.9,6,63,0,63.8,55.9,0
A-081,A,10.4,77.5,6,74.6,63.9,9,180,3,75.4,70.7,1
A-082,A,8.2,84.5,8,80.1,70.1,5,210,0,62.3,61.2,0
A-083,A,8.8,82.2,5,62.4,76.8,10,208,3,80.6,66.6,0
A-084,A,12.0,94.4,6,71.6,66.1,10,235,1,80.3,72.4,1
A-085,A,7.8,81.3,10,72.5,72.3,4,244,0,81.4,69.9,0
A-086,A,1.0,82.1,9,60.5,75.2,8,231,1,62.9,52.6,0
A-087,A,2.8,84.2,8,81.5,64.5,7,229,4,61.9,52.6,0
A-088,A,10.9,69.5,10,71.7,86.8,10,193,5,66.8,82.4,1
A-089,A,14.0,75.4,7,80.0,89.4,3,136,2,65.6,76.2,1
A-090,A,7.7,95.5,8,63.2,77.0,6,37,4,70.5,74.3,1
A-091,A,5.9,88.1,6,58.5,64.3,8,191,3,73.2,70.0,0
A-092,A,3.8,84.7,7,61.3,53.0,6,273,5,70.3,58.9,0
A-093,A,9.6,92.7,7,49.0,46.6,6,211,2,65.7,71.0,1
A-094,A,2.6,82.6,10,65.9,88.1,4,314,3,82.7,63.3,0
A-095,A,4.3,82.0,6,80.0,77.2,7,229,1,83.7,62.4,0
A-096,A,8.4,81.6,9,92.8,68.2,6,41,4,79.8,69.8,0
A-097,A,8.3,69.8,7,89.5,58.1,4,259,4,77.2,66.4,0
A-098,A,7.2,91.5,4,91.3,72.9,7,122,4,75.8,65.0,0
A-099,A,11.2,82.5,4,91.3,85.4,6,181,5,88.1,66.3,0
A-100,A,4.3,83.2,6,100.0,78.4,7,159,2,65.4,59.1,0
A-101,A,4.4,81.3,9,77.9,63.1,8,186,3,58.5,54.3,0
A-102,A,6.7,78.9,8,87.1,100.0,9,303,0,69.4,70.4,1
A-103,A,8.2,65.9,10,83.5,80.8,7,274,1,70.9,57.0,0
A-104,A,7.0,85.2,8,44.3,60.6,5,95,0,68.0,56.1,0
A-105,A,14.0,100.0,10,77.6,79.3,6,221,4,68.5,78.6,1
A-106,A,6.2,91.9,8,76.4,79.5,6,143,3,68.8,61.6,0
A-107,A,9.9,81.7,6,80.4,83.2,9,282,3,74.5,73.2,1
A-108,A,6.2,76.6,9,69.4,79.1,6,305,3,64.2,67.3,0
A-109,A,9.0,84.2,6,66.7,61.0,9,169,6,60.9,65.1,0
A-110,A,6.7,87.0,5,69.4,79.3,7,266,4,70.5,64.7,0
A-111,A,6.8,83.0,6,84.6,65.9,8,274,2,76.6,70.7,1
A-112,A,12.9,90.7,7,81.3,76.6,6,254,5,69.6,81.0,1
A-113,A,7.0,76.4,8,93.7,74.5,9,280,5,58.5,74.8,1
A-114,A,13.2,92.5,9,60.1,82.7,6,195,4,71.3,81.1,1
A-115,A,5.8,85.2,8,89.4,77.7,10,230,0,65.9,71.7,1
A-116,A,6.6,79.6,10,98.9,71.5,8,202,1,76.5,74.0,1
A-117,A,11.3,81.7,4,64.4,100.0,8,211,3,66.9,78.1,1
A-118,A,1.0,86.8,7,76.5,71.4,8,205,2,71.4,54.3,0
A-119,A,3.0,90.1,10,56.0,71.1,5,58,0,81.4,53.6,0
A-120,A,8.1,84.6,7,41.2,80.4,9,192,3,73.3,52.0,0
A-121,A,9.4,88.7,5,58.5,80.8,4,278,1,71.1,57.6,0
A-122,A,9.7,100.0,6,75.6,86.4,7,112,3,69.3,67.3,0
A-123,A,7.0,70.9,6,77.7,58.9,8,166,3,63.8,65.6,0
A-124,A,3.7,68.0,6,70.2,69.0,9,20,5,77.7,55.2,0
A-125,A,10.5,84.7,10,82.9,87.7,6,221,1,57.8,69.1,0
A-126,A,9.3,76.3,5,79.4,78.3,6,202,4,65.5,66.0,0
A-127,A,4.6,84.9,6,98.3,78.5,6,256,1,61.7,56.0,0
A-128,A,8.3,71.1,10,57.5,59.2,5,300,4,77.0,62.3,0
A-129,A,13.5,85.1,8,64.1,59.1,6,135,3,95.0,71.6,1
A-130,A,8.4,94.5,8,67.6,65.9,5,144,3,59.3,71.1,1
A-131,A,4.4,92.9,7,66.9,77.7,8,230,3,79.2,71.5,1
A-132,A,6.7,75.2,9,69.0,84.0,6,158,1,71.7,62.2,0
A-133,A,6.9,81.5,5,100.0,85.3,5,236,3,93.2,69.5,0
A-134,A,9.0,91.1,9,70.4,53.8,6,74,3,46.8,70.4,1
A-135,A,10.7,98.6,8,83.0,74.4,7,170,4,63.2,75.7,1
A-136,A,5.1,76.4,7,57.3,76.0,5,114,3,78.4,58.8,0
A-137,A,6.0,77.2,6,66.2,70.5,4,80,3,72.8,49.9,0
A-138,A,11.1,92.9,9,85.5,70.7,5,197,1,77.0,65.0,0
A-139,A,10.2,81.1,8,87.3,63.0,7,109,0,54.1,62.4,0
A-140,A,12.1,75.8,7,54.9,71.0,4,144,3,69.5,73.6,1
A-141,A,3.5,92.4,8,100.0,48.4,7,149,6,65.9,64.5,0
A-142,A,5.1,70.6,5,80.2,89.5,8,20,2,94.6,53.0,0
A-143,A,11.1,78.5,10,65.4,77.3,6,228,1,76.7,75.3,1
A-144,A,5.1,91.7,10,80.8,91.6,6,203,0,77.1,71.9,1
A-145,A,9.0,79.0,9,67.0,65.8,4,194,3,70.1,62.2,0
A-146,A,7.8,90.1,8,56.8,55.5,5,157,1,88.1,65.9,0
A-147,A,5.7,74.2,8,77.3,95.3,6,277,1,74.2,74.2,1
A-148,A,12.5,90.2,5,85.4,50.5,7,202,3,76.7,72.6,1
A-149,A,7.9,87.8,7,88.4,61.1,6,106,3,63.0,66.5,0
A-150,A,6.4,97.0,7,54.1,83.6,5,208,5,82.9,64.3,0
A-151,A,7.5,82.0,7,63.0,90.9,6,261,4,82.4,62.1,0
A-152,A,8.7,81.2,8,72.5,67.2,5,173,3,61.5,59.2,0
A-153,A,3.2,83.2,7,88.2,72.6,10,177,2,64.3,65.1,0
A-154,A,5.4,92.4,6,91.3,72.0,6,213,0,76.2,63.2,0
A-155,A,4.1,78.1,10,69.9,81.0,9,234,2,70.4,63.2,0
A-156,A,1.6,82.9,7,59.7,65.0,4,213,4,62.8,60.8,0
A-157,A,11.0,99.6,6,82.1,81.8,5,158,0,73.9,69.1,0
A-158,A,12.4,90.2,4,68.9,85.1,9,228,2,79.4,76.2,1
A-159,A,11.6,89.8,5,80.3,73.9,6,167,5,72.1,79.4,1
A-160,A,2.6,79.8,7,88.2,76.2,10,163,4,67.6,58.7,0
A-161,A,9.2,90.9,8,82.7,100.0,8,266,2,76.3,72.3,1
A-162,A,10.1,74.7,4,62.3,78.7,9,159,2,70.0,62.7,0
A-163,A,6.2,72.1,7,59.5,70.5,4,124,3,69.1,51.4,0
A-164,A,10.5,76.5,8,56.1,87.4,7,219,2,76.6,72.1,1
A-165,A,4.6,95.3,6,84.4,88.9,6,116,3,86.7,65.8,0
A-166,A,4.7,85.3,7,89.2,67.3,10,261,5,86.1,67.6,0
A-167,A,5.4,76.5,10,61.9,64.3,6,187,2,74.6,50.7,0
A-168,A,5.8,81.1,6,68.1,91.6,7,252,1,69.6,58.0,0
A-169,A,4.9,87.6,4,63.0,89.0,5,181,4,73.0,51.8,0
A-170,A,10.9,93.5,7,73.0,90.2,4,110,3,75.5,71.0,1
A-171,A,4.7,70.9,6,64.0,94.0,8,20,1,79.6,57.5,0
A-172,A,6.6,94.7,7,63.9,62.6,6,116,0,70.6,66.3,0
A-173,A,6.0,91.5,9,90.5,57.1,7,259,5,72.3,78.6,1
A-174,A,14.7,78.4,9,86.2,86.8,5,146,5,76.0,79.0,1
A-175,A,5.2,80.8,8,75.0,86.1,7,241,2,62.3,63.8,0
A-176,A,9.4,87.9,10,88.9,77.4,5,255,3,72.2,73.5,1
A-177,A,13.5,81.7,8,67.0,83.7,6,63,3,75.4,78.5,1
A-178,A,4.4,85.1,9,80.4,67.0,7,149,3,80.5,73.3,1
A-179,A,5.5,75.5,8,62.7,64.2,6,169,5,75.3,66.0,0
A-180,A,7.0,69.4,8,65.0,74.3,8,280,3,66.4,67.3,0
